Weight (kg),Height (m),Animal
5544.23,3.93,elephant
0.10,0.16,mouse
5811.27,3.18,elephant
0.39,0.08,mouse
5536.41,3.02,elephant
4395.28,3.71,elephant
5207.23,2.80,elephant
0.08,0.14,mouse
0.46,0.12,mouse
0.13,0.18,mouse
0.30,0.14,mouse
4345.54,3.34,elephant
0.54,0.17,mouse
4728.23,3.19,elephant
5337.22,3.91,elephant
5646.18,2.83,elephant
6785.26,2.53,elephant
4225.25,3.23,elephant
5639.81,3.46,elephant
4760.53,2.89,elephant
0.30,0.19,mouse
0.34,0.14,mouse
0.32,0.17,mouse
4838.02,3.91,elephant
4337.25,3.16,elephant
0.72,0.13,mouse
5865.77,3.61,elephant
4784.01,3.76,elephant
4962.75,2.83,elephant
4975.95,3.90,elephant
0.73,0.08,mouse
0.60,0.16,mouse
0.62,0.19,mouse
0.58,0.10,mouse
6165.21,2.93,elephant
5043.75,2.77,elephant
6707.01,3.82,elephant
4048.73,3.93,elephant
0.33,0.07,mouse
0.43,0.08,mouse
6076.77,2.90,elephant
4663.94,3.20,elephant
0.21,0.16,mouse
6310.09,3.51,elephant
5757.72,3.26,elephant
0.54,0.09,mouse
6914.95,3.89,elephant
5235.67,3.44,elephant
5316.17,2.57,elephant
0.35,0.14,mouse
6588.76,3.79,elephant
0.31,0.09,mouse
0.51,0.19,mouse
5149.52,2.86,elephant
0.08,0.16,mouse
0.15,0.19,mouse
6769.09,3.85,elephant
6199.18,3.77,elephant
0.42,0.15,mouse
0.25,0.17,mouse
6623.14,3.53,elephant
4035.38,2.68,elephant
0.31,0.12,mouse
5178.44,3.78,elephant
0.45,0.15,mouse
0.77,0.11,mouse
5104.89,3.28,elephant
4875.41,3.76,elephant
0.42,0.16,mouse
6837.75,3.23,elephant
6568.32,3.61,elephant
0.66,0.17,mouse
4301.88,3.53,elephant
5569.77,3.11,elephant
0.05,0.08,mouse
0.61,0.14,mouse
4123.71,3.85,elephant
5007.31,3.49,elephant
0.28,0.16,mouse
0.21,0.08,mouse
4322.98,2.79,elephant
6892.28,3.30,elephant
0.70,0.13,mouse
0.63,0.16,mouse
4084.58,2.76,elephant
5382.16,3.47,elephant
0.19,0.17,mouse
6149.37,2.96,elephant
5125.64,2.80,elephant
6945.96,3.89,elephant
0.08,0.15,mouse
0.31,0.11,mouse
6402.94,2.68,elephant
4935.16,3.60,elephant
0.55,0.15,mouse
5135.57,3.78,elephant
5040.94,3.41,elephant
6099.22,3.58,elephant
6448.12,3.02,elephant
5875.37,2.53,elephant
4793.95,3.72,elephant
4844.61,3.27,elephant
0.21,0.14,mouse
0.76,0.11,mouse
0.53,0.16,mouse
0.69,0.11,mouse
4858.68,3.74,elephant
0.53,0.09,mouse
6981.40,3.47,elephant
5379.86,3.79,elephant
0.38,0.11,mouse
6469.98,3.16,elephant
5519.32,3.54,elephant
0.32,0.14,mouse
0.30,0.08,mouse
6573.81,3.31,elephant
0.56,0.16,mouse
6672.47,3.79,elephant
0.36,0.10,mouse
0.50,0.18,mouse
0.74,0.16,mouse
6413.53,2.52,elephant
4910.15,3.07,elephant
5886.97,3.63,elephant
5189.04,3.14,elephant
0.16,0.16,mouse
5228.55,2.94,elephant
6759.68,3.46,elephant
4309.44,2.75,elephant
0.16,0.18,mouse
4342.95,3.93,elephant
0.40,0.12,mouse
0.74,0.08,mouse
0.17,0.18,mouse
4478.75,3.91,elephant
5820.31,3.52,elephant
4346.46,3.03,elephant
0.25,0.17,mouse
0.53,0.12,mouse
0.41,0.19,mouse
0.59,0.08,mouse
0.61,0.13,mouse
0.14,0.09,mouse
0.64,0.08,mouse
0.63,0.19,mouse
5391.54,3.83,elephant
6593.92,2.53,elephant
0.07,0.11,mouse
6783.40,2.75,elephant
0.68,0.09,mouse
6431.51,3.55,elephant
0.77,0.11,mouse
5051.53,3.35,elephant
0.68,0.09,mouse
4783.11,3.41,elephant
4767.62,2.98,elephant
4652.14,3.51,elephant
0.74,0.18,mouse
6387.14,3.43,elephant
6871.46,3.76,elephant
5964.13,3.35,elephant
0.44,0.15,mouse
0.52,0.10,mouse
6043.19,3.38,elephant
5598.03,2.74,elephant
5385.67,3.14,elephant
4418.10,3.05,elephant
0.10,0.18,mouse
0.51,0.16,mouse
0.56,0.08,mouse
0.05,0.11,mouse
0.54,0.13,mouse
0.30,0.11,mouse
0.24,0.12,mouse
6609.59,4.00,elephant
6748.47,3.99,elephant
6426.99,3.28,elephant
0.06,0.20,mouse
0.11,0.11,mouse
4543.46,3.30,elephant
0.23,0.10,mouse
0.79,0.15,mouse
4374.54,3.18,elephant
0.07,0.11,mouse
0.49,0.19,mouse
4399.05,3.57,elephant
5710.33,3.04,elephant
6620.38,3.94,elephant
6814.00,3.03,elephant
6230.19,3.66,elephant
4487.07,3.63,elephant
5388.12,2.62,elephant
6234.42,3.34,elephant
0.29,0.08,mouse
0.20,0.14,mouse
0.47,0.13,mouse
0.34,0.20,mouse
5298.03,3.23,elephant
6427.10,2.94,elephant
0.43,0.15,mouse
0.65,0.12,mouse
5632.77,2.81,elephant
4613.71,3.76,elephant
5285.87,2.94,elephant
4086.74,3.85,elephant
0.55,0.20,mouse
4878.14,3.41,elephant
0.11,0.12,mouse
0.17,0.20,mouse
0.07,0.19,mouse
4270.84,2.71,elephant
0.73,0.20,mouse
0.22,0.12,mouse
0.49,0.12,mouse
0.31,0.12,mouse
0.50,0.17,mouse
0.47,0.16,mouse
0.65,0.15,mouse
0.37,0.08,mouse
0.74,0.14,mouse
0.73,0.11,mouse
0.12,0.13,mouse
6686.12,2.67,elephant
0.27,0.13,mouse
0.33,0.19,mouse
5471.16,3.49,elephant
4376.77,3.34,elephant
6903.17,2.97,elephant
0.76,0.12,mouse
0.07,0.07,mouse
6754.20,2.93,elephant
4982.25,2.68,elephant
0.52,0.10,mouse
0.36,0.09,mouse
0.44,0.07,mouse
6118.44,2.78,elephant
6230.28,2.80,elephant
4294.07,2.64,elephant
6726.72,2.56,elephant
0.22,0.19,mouse
0.23,0.11,mouse
0.48,0.08,mouse
4514.42,3.66,elephant
0.12,0.13,mouse
5047.86,2.62,elephant
4174.07,3.52,elephant
0.40,0.12,mouse
0.55,0.12,mouse
0.26,0.09,mouse
6908.16,3.26,elephant
0.34,0.09,mouse
4278.63,3.37,elephant
0.43,0.20,mouse
0.36,0.15,mouse
4848.12,3.73,elephant
0.30,0.13,mouse
0.43,0.08,mouse
0.77,0.17,mouse
5619.62,2.78,elephant
0.07,0.08,mouse
0.18,0.19,mouse
5869.29,3.50,elephant
0.57,0.18,mouse
4088.36,3.71,elephant
5846.27,3.56,elephant
4713.41,3.64,elephant
0.76,0.07,mouse
5147.16,3.33,elephant
0.73,0.14,mouse
6323.70,3.77,elephant
0.55,0.18,mouse
0.29,0.08,mouse
5253.07,3.73,elephant
4783.18,2.74,elephant
6428.97,3.56,elephant
4312.52,2.66,elephant
5160.36,3.85,elephant
0.69,0.15,mouse
4836.97,3.94,elephant
5658.84,3.84,elephant
0.45,0.14,mouse
5154.01,3.34,elephant
4400.76,2.80,elephant
5196.65,2.57,elephant
5725.18,2.81,elephant
5017.50,3.35,elephant
4277.35,2.95,elephant
5278.22,3.51,elephant
0.58,0.08,mouse
4609.31,3.75,elephant
6486.55,2.97,elephant
6116.13,2.76,elephant
0.06,0.17,mouse
4988.35,3.51,elephant
6673.68,2.61,elephant
0.25,0.12,mouse
4462.53,3.97,elephant
6007.46,3.21,elephant
0.52,0.12,mouse
6728.58,3.90,elephant
0.27,0.13,mouse
4553.88,2.94,elephant
0.40,0.18,mouse
4406.79,3.73,elephant
5308.10,3.22,elephant
0.25,0.15,mouse
6530.11,3.53,elephant
5226.11,3.32,elephant
0.53,0.19,mouse
4242.92,3.35,elephant
5146.81,2.75,elephant
0.15,0.20,mouse
6369.00,3.91,elephant
0.65,0.15,mouse
0.48,0.09,mouse
5195.72,3.98,elephant
4486.26,2.81,elephant
0.73,0.13,mouse
5941.83,3.50,elephant
5496.37,3.44,elephant
0.75,0.13,mouse
0.42,0.19,mouse
0.58,0.08,mouse
0.79,0.15,mouse
4494.62,3.47,elephant
4602.46,2.89,elephant
0.52,0.18,mouse
0.07,0.12,mouse
0.62,0.11,mouse
4062.06,3.01,elephant
5618.08,3.49,elephant
0.05,0.15,mouse
4861.10,2.95,elephant
4832.64,2.53,elephant
5040.97,2.64,elephant
0.74,0.10,mouse
0.69,0.17,mouse
0.70,0.09,mouse
0.19,0.18,mouse
5472.08,3.23,elephant
0.53,0.14,mouse
0.72,0.10,mouse
5899.92,3.30,elephant
6428.69,2.92,elephant
4542.96,2.85,elephant
5031.49,3.36,elephant
5037.81,3.56,elephant
0.44,0.18,mouse
0.50,0.20,mouse
0.51,0.17,mouse
0.11,0.18,mouse
0.25,0.19,mouse
0.35,0.18,mouse
0.47,0.19,mouse
0.17,0.09,mouse
0.58,0.09,mouse
5618.93,2.75,elephant
0.75,0.18,mouse
0.22,0.15,mouse
0.17,0.07,mouse
4659.32,3.97,elephant
0.26,0.19,mouse
0.08,0.16,mouse
6956.34,2.97,elephant
4985.26,3.90,elephant
4524.73,2.87,elephant
4466.41,3.35,elephant
6628.35,2.83,elephant
4015.84,2.63,elephant
6515.49,2.97,elephant
4227.77,3.91,elephant
0.25,0.18,mouse
4045.00,2.51,elephant
4226.17,2.67,elephant
0.28,0.09,mouse
4269.53,2.77,elephant
4036.71,3.47,elephant
6270.94,2.83,elephant
6195.32,3.22,elephant
0.61,0.15,mouse
0.10,0.14,mouse
6003.47,2.87,elephant
0.15,0.15,mouse
0.76,0.12,mouse
5804.48,2.92,elephant
0.42,0.13,mouse
4785.36,4.00,elephant
0.27,0.17,mouse
5509.00,2.96,elephant
4761.81,2.78,elephant
0.47,0.12,mouse
0.48,0.15,mouse
4093.90,3.90,elephant
5167.45,3.14,elephant
0.28,0.15,mouse
0.31,0.12,mouse
5037.49,3.28,elephant
6138.20,3.31,elephant
5566.46,3.76,elephant
0.46,0.19,mouse
5843.19,3.51,elephant
0.76,0.15,mouse
5127.68,2.65,elephant
0.07,0.12,mouse
0.31,0.07,mouse
0.32,0.16,mouse
6326.12,2.63,elephant
0.35,0.08,mouse
0.25,0.10,mouse
0.33,0.11,mouse
0.38,0.07,mouse
0.58,0.19,mouse
4866.11,3.03,elephant
0.19,0.09,mouse
0.38,0.13,mouse
6859.83,3.23,elephant
6265.73,2.98,elephant
0.77,0.19,mouse
0.58,0.08,mouse
6746.36,2.76,elephant
0.41,0.12,mouse
6357.01,3.31,elephant
0.18,0.11,mouse
0.33,0.14,mouse
0.52,0.18,mouse
0.25,0.17,mouse
0.52,0.07,mouse
4542.34,3.07,elephant
6024.62,4.00,elephant
6923.34,3.77,elephant
4254.08,3.29,elephant
6355.97,3.00,elephant
0.50,0.07,mouse
0.10,0.10,mouse
0.43,0.19,mouse
5188.56,3.51,elephant
0.57,0.12,mouse
0.20,0.13,mouse
5441.97,2.52,elephant
6100.53,2.75,elephant
0.16,0.12,mouse
0.66,0.08,mouse
0.05,0.19,mouse
0.65,0.16,mouse
0.38,0.14,mouse
6879.25,2.51,elephant
4829.81,2.57,elephant
0.44,0.17,mouse
0.58,0.16,mouse
4537.53,3.38,elephant
0.42,0.11,mouse
0.31,0.15,mouse
0.50,0.17,mouse
5297.17,3.89,elephant
4483.81,3.24,elephant
4446.66,2.97,elephant
4427.96,3.64,elephant
5016.00,2.96,elephant
0.57,0.13,mouse
6975.48,3.05,elephant
6777.87,2.79,elephant
6314.87,3.07,elephant
0.07,0.07,mouse
0.54,0.12,mouse
6519.10,3.52,elephant
4521.60,2.97,elephant
0.68,0.19,mouse
6684.52,3.88,elephant
0.25,0.20,mouse
0.15,0.07,mouse
6680.44,2.82,elephant
0.70,0.17,mouse
5896.31,3.47,elephant
0.76,0.08,mouse
4523.68,3.81,elephant
0.34,0.16,mouse
0.09,0.15,mouse
0.57,0.12,mouse
0.70,0.14,mouse
5271.77,2.96,elephant
0.42,0.15,mouse
5903.48,3.88,elephant
0.39,0.07,mouse
5437.32,3.48,elephant
5023.08,3.29,elephant
0.71,0.13,mouse
0.08,0.14,mouse
5944.50,3.00,elephant
0.60,0.07,mouse
5749.76,3.29,elephant
4088.13,3.30,elephant
0.61,0.17,mouse
0.16,0.12,mouse
0.23,0.07,mouse
4695.51,3.64,elephant
0.22,0.19,mouse
6014.71,3.65,elephant
0.71,0.19,mouse
5720.08,3.94,elephant
0.11,0.09,mouse
0.74,0.08,mouse
5413.64,3.68,elephant
0.22,0.17,mouse
0.07,0.08,mouse
5451.99,2.78,elephant
4862.43,3.92,elephant
0.17,0.10,mouse
0.69,0.19,mouse
0.25,0.20,mouse
0.52,0.10,mouse
0.05,0.14,mouse
0.18,0.16,mouse
5515.13,3.84,elephant
0.32,0.10,mouse
0.58,0.20,mouse
0.58,0.15,mouse
0.25,0.07,mouse
4624.55,3.55,elephant
6209.91,3.72,elephant
0.17,0.09,mouse
0.60,0.07,mouse
0.60,0.11,mouse
0.64,0.17,mouse
5721.94,3.78,elephant
0.68,0.07,mouse
0.42,0.10,mouse
0.72,0.16,mouse
0.10,0.09,mouse
5028.83,2.68,elephant
0.10,0.17,mouse
6301.98,2.60,elephant
4873.41,2.68,elephant
4879.44,3.27,elephant
5498.65,3.32,elephant
0.78,0.14,mouse
0.48,0.19,mouse
0.29,0.13,mouse
5311.71,3.08,elephant
4176.99,2.90,elephant
0.18,0.10,mouse
6597.72,2.98,elephant
0.24,0.13,mouse
0.42,0.20,mouse
5802.94,3.88,elephant
0.63,0.19,mouse
4704.99,3.28,elephant
5363.33,3.07,elephant
0.41,0.07,mouse
0.41,0.16,mouse
0.16,0.17,mouse
4765.07,3.16,elephant
0.62,0.17,mouse
5363.46,2.82,elephant
0.06,0.18,mouse
0.20,0.09,mouse
0.74,0.18,mouse
6629.83,3.76,elephant
4974.44,2.95,elephant
4063.29,3.16,elephant
6302.86,3.07,elephant
4136.60,3.22,elephant
0.73,0.13,mouse
0.65,0.15,mouse
0.06,0.10,mouse
0.51,0.11,mouse
5461.25,3.59,elephant
5225.15,2.97,elephant
0.32,0.11,mouse
0.13,0.12,mouse
6762.39,2.99,elephant
6217.09,3.51,elephant
4366.00,3.40,elephant
0.40,0.12,mouse
0.28,0.09,mouse
0.50,0.13,mouse
0.28,0.15,mouse
0.41,0.19,mouse
0.25,0.11,mouse
4813.01,3.75,elephant
5394.26,2.52,elephant
0.36,0.18,mouse
4229.55,3.14,elephant
0.48,0.11,mouse
4933.66,2.96,elephant
0.36,0.15,mouse
4365.43,3.19,elephant
0.34,0.16,mouse
0.68,0.20,mouse
6054.51,2.64,elephant
0.78,0.12,mouse
0.32,0.08,mouse
0.33,0.07,mouse
5121.21,3.07,elephant
0.08,0.11,mouse
0.14,0.15,mouse
5332.75,2.65,elephant
0.06,0.13,mouse
0.60,0.13,mouse
0.24,0.09,mouse
0.74,0.10,mouse
0.52,0.14,mouse
0.69,0.09,mouse
5661.13,3.23,elephant
5353.85,3.47,elephant
5425.54,3.40,elephant
4033.13,3.82,elephant
0.42,0.18,mouse
0.75,0.18,mouse
6750.69,3.46,elephant
0.63,0.11,mouse
0.25,0.15,mouse
0.59,0.07,mouse
0.52,0.10,mouse
4012.64,2.69,elephant
0.40,0.13,mouse
5695.46,2.63,elephant
4943.33,3.28,elephant
5244.55,3.77,elephant
4847.11,2.73,elephant
5957.85,3.21,elephant
0.10,0.12,mouse
4009.79,2.99,elephant
0.60,0.13,mouse
0.54,0.09,mouse
0.45,0.18,mouse
5280.11,3.40,elephant
0.79,0.13,mouse
5292.50,3.84,elephant
6749.89,2.77,elephant
0.79,0.16,mouse
6685.56,3.61,elephant
0.70,0.19,mouse
0.08,0.14,mouse
6945.81,3.91,elephant
0.45,0.17,mouse
6740.38,3.39,elephant
0.73,0.08,mouse
5881.72,3.07,elephant
0.55,0.20,mouse
0.12,0.19,mouse
0.70,0.15,mouse
5680.86,2.75,elephant
0.52,0.10,mouse
5208.10,3.44,elephant
0.33,0.13,mouse
5239.63,2.80,elephant
0.05,0.18,mouse
0.68,0.14,mouse
6085.95,3.20,elephant
6813.75,3.55,elephant
0.62,0.17,mouse
4363.22,3.54,elephant
0.47,0.08,mouse
4814.49,3.67,elephant
0.67,0.17,mouse
0.55,0.08,mouse
0.32,0.09,mouse
5298.33,2.94,elephant
6994.37,4.00,elephant
4483.40,2.98,elephant
0.73,0.16,mouse
0.13,0.14,mouse
6205.98,3.49,elephant
0.73,0.19,mouse
0.78,0.16,mouse
0.19,0.19,mouse
4309.77,3.80,elephant
6425.96,2.87,elephant
0.42,0.18,mouse
5949.22,3.26,elephant
0.22,0.09,mouse
6265.29,3.00,elephant
0.44,0.11,mouse
4293.36,3.41,elephant
0.69,0.16,mouse
0.64,0.08,mouse
4850.67,3.01,elephant
0.38,0.18,mouse
5604.19,3.81,elephant
4025.03,2.52,elephant
0.24,0.14,mouse
0.53,0.09,mouse
6615.31,3.66,elephant
0.66,0.18,mouse
0.54,0.12,mouse
5863.51,3.10,elephant
0.60,0.16,mouse
6083.15,3.38,elephant
4552.43,3.63,elephant
0.34,0.08,mouse
6427.41,2.83,elephant
0.41,0.19,mouse
0.42,0.11,mouse
0.66,0.18,mouse
5148.27,3.64,elephant
4260.90,2.67,elephant
0.56,0.18,mouse
0.08,0.07,mouse
0.79,0.16,mouse
0.55,0.08,mouse
0.19,0.10,mouse
5290.18,3.76,elephant
0.19,0.11,mouse
4074.32,3.18,elephant
4111.94,3.84,elephant
5358.58,3.19,elephant
0.42,0.14,mouse
0.11,0.09,mouse
0.68,0.12,mouse
0.09,0.08,mouse
0.64,0.12,mouse
0.70,0.07,mouse
0.63,0.18,mouse
0.19,0.20,mouse
5775.77,3.27,elephant
0.18,0.20,mouse
5358.94,3.50,elephant
0.47,0.10,mouse
4662.48,3.54,elephant
0.30,0.10,mouse
0.31,0.11,mouse
4221.32,3.22,elephant
6779.49,3.84,elephant
6840.73,2.74,elephant
5393.57,3.39,elephant
0.37,0.14,mouse
5165.50,3.46,elephant
6521.00,2.93,elephant
5597.38,3.13,elephant
0.54,0.12,mouse
0.16,0.10,mouse
4883.59,3.02,elephant
6187.56,3.88,elephant
5203.71,2.97,elephant
0.27,0.18,mouse
6803.86,3.90,elephant
0.52,0.20,mouse
0.27,0.18,mouse
6753.99,2.60,elephant
6723.26,3.64,elephant
6324.89,2.51,elephant
5912.89,2.97,elephant
5236.33,2.78,elephant
0.46,0.15,mouse
0.71,0.13,mouse
5233.94,3.86,elephant
6627.88,2.70,elephant
0.10,0.10,mouse
0.26,0.10,mouse
4801.83,3.26,elephant
0.13,0.10,mouse
0.35,0.18,mouse
4065.52,2.81,elephant
4971.12,2.88,elephant
5386.41,3.72,elephant
6300.94,3.91,elephant
0.64,0.11,mouse
4101.62,3.69,elephant
4549.85,2.64,elephant
4399.28,3.91,elephant
4665.40,2.75,elephant
6506.76,2.81,elephant
0.76,0.10,mouse
6768.97,3.93,elephant
6565.79,3.92,elephant
0.56,0.07,mouse
0.29,0.16,mouse
0.41,0.18,mouse
0.43,0.13,mouse
0.72,0.13,mouse
6862.10,3.38,elephant
0.27,0.11,mouse
4803.88,2.85,elephant
0.31,0.08,mouse
0.10,0.11,mouse
0.24,0.18,mouse
6570.64,3.13,elephant
5467.09,3.85,elephant
0.39,0.07,mouse
0.71,0.17,mouse
0.64,0.19,mouse
4922.29,2.81,elephant
4460.80,3.54,elephant
0.37,0.13,mouse
0.65,0.19,mouse
5748.67,3.90,elephant
0.70,0.17,mouse
0.12,0.20,mouse
4056.11,3.46,elephant
5713.29,2.98,elephant
4761.56,2.88,elephant
6440.08,3.69,elephant
4174.11,3.22,elephant
0.66,0.17,mouse
0.22,0.11,mouse
5352.40,3.81,elephant
5007.77,3.91,elephant
0.55,0.18,mouse
0.42,0.08,mouse
6590.25,2.80,elephant
0.32,0.08,mouse
5417.94,2.63,elephant
5339.08,3.88,elephant
0.34,0.11,mouse
0.73,0.13,mouse
5880.30,2.52,elephant
4114.19,3.85,elephant
6644.32,2.63,elephant
5641.87,3.13,elephant
0.58,0.17,mouse
0.32,0.19,mouse
0.79,0.14,mouse
0.56,0.19,mouse
5926.99,3.13,elephant
6885.69,2.98,elephant
0.33,0.11,mouse
0.07,0.14,mouse
6875.14,3.67,elephant
0.28,0.19,mouse
0.76,0.09,mouse
6970.68,3.65,elephant
4791.36,3.76,elephant
6374.59,3.50,elephant
0.42,0.16,mouse
5135.68,3.10,elephant
0.66,0.20,mouse
5924.81,3.68,elephant
4828.50,3.94,elephant
0.33,0.16,mouse
4242.95,3.29,elephant
4169.31,2.60,elephant
0.42,0.19,mouse
5934.84,2.79,elephant
0.38,0.15,mouse
6371.77,2.84,elephant
0.78,0.11,mouse
0.79,0.07,mouse
5042.86,2.60,elephant
4351.38,2.76,elephant
0.27,0.08,mouse
4344.91,3.96,elephant
6106.48,2.90,elephant
0.26,0.15,mouse
4101.85,3.19,elephant
5796.38,2.88,elephant
0.41,0.17,mouse
0.68,0.14,mouse
6768.21,2.57,elephant
4618.28,2.64,elephant
0.35,0.10,mouse
6427.81,3.42,elephant
0.27,0.12,mouse
4060.77,3.84,elephant
0.26,0.11,mouse
0.76,0.07,mouse
6966.39,3.15,elephant
0.35,0.12,mouse
5022.84,3.61,elephant
4906.46,3.71,elephant
4705.29,2.64,elephant
0.78,0.19,mouse
0.33,0.18,mouse
6965.42,3.71,elephant
5210.29,3.41,elephant
4160.78,3.14,elephant
6853.65,3.33,elephant
4796.77,3.72,elephant
0.47,0.08,mouse
4677.19,3.88,elephant
4638.19,3.72,elephant
0.80,0.08,mouse
6299.78,2.78,elephant
0.69,0.12,mouse
6647.39,3.60,elephant
0.44,0.11,mouse
5002.72,2.95,elephant
0.38,0.07,mouse
6938.16,3.28,elephant
4522.09,2.89,elephant
4061.43,3.06,elephant
0.36,0.16,mouse
6968.81,3.67,elephant
0.80,0.11,mouse
0.31,0.16,mouse
6517.84,3.32,elephant
6772.95,2.76,elephant
6503.87,3.46,elephant
0.53,0.20,mouse
4078.30,2.71,elephant
4334.09,2.84,elephant
4402.96,2.92,elephant
0.06,0.19,mouse
6133.81,3.18,elephant
0.17,0.11,mouse
4009.47,3.08,elephant
0.32,0.10,mouse
0.27,0.10,mouse
0.22,0.10,mouse
6359.46,2.75,elephant
0.69,0.07,mouse
0.42,0.13,mouse
